ics_title,ics_description,facility_title,facility_description,standard_title,standard_description,standard_stage,standard_details.abstract,standard_details.Status,standard_details.Publication_date,standard_details.Edition,standard_details.Number_of_pages,standard_details.Technical_Committee,standard_details.ICS,standard_details.preview_doc,standard_details.Corrected_version_(en),standard_details.Corrected_version_(fr)
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 7787-4:2002,Dental rotary instruments — Cutters — Part 4: Miniature carbide laboratory cutters,90.93,"This part of ISO 7787 specifies the shape and dimensional characteristics, number of blades, type of toothing and run-out for the ten most common miniature carbide laboratory cutters, which are predominantly used in the dental laboratory.",Published,2002-03,1,20,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:33946:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 7885:1996,"Sterile, single-use dental injection needles",95.99,,Withdrawn,1996-08,1,5,ISO/TC 106/SC 4 Dental instruments,"11.040.20:Transfusion, infusion and injection equipment|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 7885:2000,Sterile dental injection needles for single use,95.99,,Withdrawn,2000-12,2,8,ISO/TC 106/SC 4 Dental instruments,"11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 7885:2010,Dentistry — Sterile injection needles for single use,90.93,"ISO 7885:2010 gives dimensional and performance requirements for sterile injection needles for single use which are used in dental cartridge syringes complying with ISO 9997 for injection of dental local anaesthetics. It further specifies requirements with respect to their packaging, labelling and colour coding. It does not cover needles for special applications or techniques.
Only the materials used for the construction of the needle tubing are specified.",Published,2010-02,3,7,ISO/TC 106/SC 4 Dental instruments,"11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:45606:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 8170:1985,Dental hand instruments — Hand-held cutting instruments for restorative dentistry — Designation and marking of dimensional characteristics,95.99,,Withdrawn,1985-07,1,8,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 8282:1994,Dental equipment — Mercury and alloy mixers and dispensers,95.99,"Specifies requirements and test methods for devices used for dispensing dental amalgam alloys and/or mercury. Includes the dispensing portion of devices which dispense the correct portions of alloy and mercury as well as mix the amalgam in a single, continuous operation. Does not specify requirements and test methods for the efficacy of mixing.",Withdrawn,1994-10,1,4,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 8325:1985,Dental rotary instruments — Test methods,95.99,"Statement of test methods for the instruments such as burrs, cutters, diamond instruments and abrasives. Root canal instruments are excluded. In the relevant product standards reference is made to the methods specified in this standard.",Withdrawn,1985-11,1,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 8325:2004,Dentistry — Test methods for rotary instruments,95.99,"ISO 8325:2004 specifies methods for measuring the dimensional characteristics, neck strength and surface roughness of dental rotary instruments, such as burs, cutters, polishers, diamond and abrasive instruments. 
ISO 8325:2004 does not provide test methods for the characteristics of materials used for dental rotary instruments. 
NOTE For testing of these characteristics, see the respective product standards.
ISO 8325:2004 is not applicable to dental root-canal instruments (see ISO 3630-1).",Withdrawn,2004-09,2,9,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 8325:2023,Dentistry — Test methods for rotary instruments,60.60,"This document specifies general test methods for rotary instruments used in dentistry. These test methods are used for measuring the dimensional characteristics, neck strength and surface roughness of rotary instruments, such as burs, cutters, polishers, grinding instruments and rotary instruments used for oral surgery such as drills and countersinks.
Specific tests are specified in the respective instrument standards, if available.
This document does not specify test methods for materials used for rotary instruments.
NOTE       For materials used for rotary instruments, see ISO 21850-1 and respective instrument standards.
This document is not applicable to endodontic instruments. For endodontic instruments, see ISO 3630-1.",Published,2023-03,3,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:81596:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9168:1988,Dental handpieces — Hose connectors,95.99,,Withdrawn,1988-03,1,,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9168:1991,Dental handpieces — Hose connectors,95.99,"Specifies four types of standard connectors. Type A: connector with two or three outlets; Type B: connector with four or five outlets; Type C: connector with four outlets and electrical contacts; Type D: connector with three outlets and connection thread M12 x 0,5.",Withdrawn,1991-08,2,6,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9168:2009,Dentistry — Hose connectors for air driven dental handpieces,90.93,"ISO 9168:2009 is applicable for achieving reliable interchangeability between hoses from dental units and dental handpieces.
ISO 9168:2009 specifies four types of hose connector for use between air driven dental handpieces and the flexible hoses of the dental unit which supply the handpieces with water, air and light, and provide for exhaust.",Published,2009-07,3,10,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:46572:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9173-1:1991,Dental extraction forceps — Part 1: Screw and pin joint types,95.99,Specifies the dimensions and performance requirements. Describes test methods. Many figures illustrate the performance shapes. Annexes A and B are for information only.,Withdrawn,1991-07,1,18,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9173-1:2006,Dentistry — Extraction forceps — Part 1: General requirements and test methods,95.99,ISO 9173-1:2006 specifies the general performance requirements for extraction forceps used in dentistry.,Withdrawn,2006-06,2,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9173-1:2016,Dentistry — Extraction forceps — Part 1: General requirements,90.92,ISO 9173-1:2016 specifies the general performance requirements for extraction forceps used in dentistry.,Published,2016-10,3,5,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:65160:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9173-2:2010,Dentistry — Extraction forceps — Part 2: Designation,90.93,ISO 9173‑2:2010 specifies the designation of dental extraction forceps.,Published,2010-05,1,4,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:50033:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9173-3:2014,Dentistry — Extraction forceps — Part 3: Design,90.93,ISO 9173-3:2014 specifies the design for extraction forceps used in dentistry.,Published,2014-05,1,9,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:57402:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9680:1993/Cor 1:1995,Dental operating light — Technical Corrigendum 1,95.99,"Deletes, inserts and changes text on pages 1, 2, 5 and 10.",Withdrawn,1995-03,1,1,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9680:1993,Dental operating light,95.99,The preferred voltages are: 12; 24; 36; 48; 72; 80; 96; 120; 144; 160; 192; 240.,Withdrawn,1993-10,1,11,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9680:2007,Dentistry — Operating lights,95.99,"ISO 9680:2007 specifies requirements and test methods for operating lights used in the dental office and intended for illuminating the oral cavity of patients. It also contains specifications on manufacturers' instructions, marking and packaging.
ISO 9680:2007 applies to operating lights that are intended to be permanently fixed to the ceiling, or to the wall or to the floor.",Withdrawn,2007-06,2,18,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9680:2014,Dentistry — Operating lights,95.99,"ISO 9680:2014 specifies requirements and test methods for operating lights used in the dental office and intended for illuminating the oral cavity of patients. It also contains specifications on manufacturers' instructions for use, marking and packaging.
ISO 9680:2014 applies to operating lights, irrespective of the technology of the light source.
ISO 9680:2014 excludes auxiliary light sources, e.g. from dental handpieces and dental headlamps and also operating lights which are specifically designed for use in oral surgery.",Withdrawn,2014-10,3,17,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9680:2021,Dentistry — Operating lights,90.92,"This document specifies requirements and test methods for operating lights used in the dental office and intended for illuminating the oral cavity of patients. It also contains specifications on the instructions for use, marking and packaging.
This document applies to operating lights, irrespective of the technology of the light source.
This document excludes auxiliary light sources, for example, from dental handpieces and dental headlamps and also operating lights which are specifically designed for use in oral surgery.",Published,2021-11,4,21,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:74496:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9687:1993,Dental equipment — Graphical symbols,95.99,"The 153 symbols specified are to be used on the appropriate piece of equipment and in documents pertaining to dental equipment pieces, e.g. in instructions for use. The symbols are selected specifically for all kinds of dental equipment. The majority of them are taken from the relevant IEC and ISO International Standards.",Withdrawn,1993-02,1,20,ISO/TC 106/SC 6 Dental equipment,01.080.20:Graphical symbols for use on specific equipment|11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9687:2015,Dentistry — Graphical symbols for dental equipment,90.93,"ISO 9687:2015 specifies graphical symbols for dental equipment. It is intended that the symbols are to be used on the appropriate piece of dental equipment and in documents pertaining to dental equipment, for example in instructions for use, marking, labelling, and technical product documentation.",Published,2015-02,2,28,ISO/TC 106/SC 6 Dental equipment,01.080.20:Graphical symbols for use on specific equipment|11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:59876:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9687:2015/Amd 1:2018,Dentistry — Graphical symbols for dental equipment — Amendment 1,60.60,,Published,2018-03,2,1,ISO/TC 106/SC 6 Dental equipment,01.080.20:Graphical symbols for use on specific equipment|11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:69317:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9873:1990,Reusable metal dental mirrors and handles,95.99,,Withdrawn,1990-08,1,6,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9873:1998,Dental hand instruments — Reusable mirrors and handles,95.99,,Withdrawn,1998-10,2,10,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9873:1998/Cor 1:2000,Dental hand instruments — Reusable mirrors and handles — Technical Corrigendum 1,95.99,,Withdrawn,2000-06,2,2,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9873:2017,Dentistry — Intra-oral mirrors,95.99,"ISO 9873:2017 specifies requirements and test methods for reusable intra-oral mirrors with a coated glass reflecting surface used for dental purposes in the oral cavity.
In addition, specific requirements for metallic casing and metallic handles are given.",Withdrawn,2017-04,3,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9873:2019,Dentistry — Intra-oral mirrors,60.60,"This document specifies requirements and test methods for reusable intra-oral mirrors with a coated glass reflecting surface used for dental purposes in the oral cavity.
In addition, specific requirements for metallic casing and metallic handles are given.",Published,2019-03,4,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:76997:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9997:1990,Dental cartridge syringes,95.99,,Withdrawn,1990-10,1,4,ISO/TC 106/SC 4 Dental instruments,"11.040.20:Transfusion, infusion and injection equipment|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9997:1999,Dental cartridge syringes,95.99,,Withdrawn,1999-12,2,6,ISO/TC 106/SC 4 Dental instruments,"11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 9997:2020,Dentistry — Cartridge syringes,60.60,"This document specifies requirements and test methods for cartridge syringes used in dentistry. These syringes are of the non-aspirating, aspirating and self-aspirating types using cartridges with dental local anaesthetics.
This document is not applicable to cartridge syringes having a mechanical-advantage action for creating high pressure.
This document specifies requirements for cartridge syringes with ISO metric thread sizes. However, attention is drawn to the existence of a variety of syringes with imperial thread sizes (see Annex A).",Published,2020-01,3,9,ISO/TC 106/SC 4 Dental instruments,"11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:73465:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10323:1991,Dental rotary instruments — Bore diameters for discs and wheels,95.99,"Specifies the following nominal bore diameters in order to achieve interchangeability between discs and wheels. Diameters in mm: 1,6; 1,8; 2,2; 3.",Withdrawn,1991-11,1,1,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10323:2013,Dentistry — Bore diameters for rotary instruments such as discs and wheels,90.20,ISO 10323:2013 specifies bore diameters for rotary instruments such as metallic discs and metallic wheels used in dentistry in order to achieve interchangeability between discs and wheels and the mandrels with which the discs and wheels are operated in a dental handpiece.,Published,2013-02,2,3,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:55278:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10637:1999,Dental equipment — High- and medium-volume suction systems,95.99,,Withdrawn,1999-08,1,18,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10637:2018,Dentistry — Central suction source equipment,90.20,"This document specifies requirements and test methods for stationary, electrically powered central suction source equipment, including centrally located amalgam separators and air water separators.
It also specifies requirements for information to be supplied by the manufacturer on the performance, installation, operation and maintenance of the central suction source equipment as part of the complete dental suction system.
This document specifies requirements for central suction source equipment used to provide vacuum pressure and flow at the facility pipeline connection point.
This document does not apply to portable suction source equipment, air/water venturi suction source equipment, or to suction source equipment located in the treatment room. It also does not apply to suction source equipment used for life support or for scavenging halogenated anaesthetic gases.
This document does not include requirements for facility and exhaust piping systems or treatment room equipment.",Published,2018-05,2,17,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:68461:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10650-1:2004,Dentistry — Powered polymerization activators — Part 1: Quartz tungsten halogen lamps,95.99,"ISO 10650-1:2004 specifies requirements and test methods for powered polymerization activators in the blue wavelength region intended for chair-side use in polymerization of dental polymer-based materials. ISO 10650-1:2004 applies to powered tungsten-halogen lamps and rechargeable battery-powered tungsten-halogen polymerization activators.
ISO 10650-1:2004 is not applicable to powered polymerization activators used in laboratory fabrication of indirect restorations, veneers, dentures or other oral dental appliances. ISO 10650-1:2004 takes priority over IEC 60601-1:1988 where specified in the individual clauses of this International Standard.",Withdrawn,2004-11,1,20,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10650-2:2007,Dentistry — Powered polymerization activators — Part 2: Light-emitting diode (LED) lamps,95.99,"ISO 10650-2:2007 specifies requirements and test methods for powered polymerization activators with light-emitting diodes (LED) in the blue wavelength region intended for chair-side use in polymerization of dental polymer-based restorative materials.
ISO 10650-2:2007 is not applicable to powered polymerization activators used in laboratory fabrication of indirect restorations, veneers, dentures or other oral dental appliances.",Withdrawn,2007-09,1,7,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10650:2015,Dentistry — Powered polymerization activators,95.99,"ISO 10650:2015 specifies requirements and test methods for powered polymerization activators in the 385 nm ? 515 nm wavelength region intended for chairside use in polymerization of dental polymer-based materials. This International Standard applies to quartz-tungsten-halogen lamps and light-emitting diode (LED) lamps. Powered polymerization activators could have internal power supply (rechargeable battery powered) or be connected to external (mains) power supply. Lasers or plasma arc devices are not covered by this International Standard.
ISO 10650:2015 does not cover powered polymerization activators used in laboratory fabrication of indirect restorations, veneers, dentures, or other oral dental appliances. This International Standard takes priority over IEC 60601‑1 where specified in the individual clauses of this International Standard.",Withdrawn,2015-09,1,14,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO/TS 10650:1999,Dental equipment — Powered polymerization activators,95.99,,Withdrawn,1999-10,1,13,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 10650:2018,Dentistry — Powered polymerization activators,60.60,"This document specifies requirements and test methods for powered polymerization activators in the 380 nm to 515 nm wavelength region intended for chairside use in polymerization of dental polymer-based materials. 
This document applies to quartz-tungsten-halogen lamps and light-emitting diode (LED) lamps. Powered polymerization activators could have internal power supply (rechargeable battery powered) or be connected to external (mains) power supply. Lasers or plasma arc devices are not covered by this standard.
This document does not cover powered polymerization activators used in laboratory fabrication of indirect restorations, veneers, dentures or other oral dental appliances.",Published,2018-08,2,15,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:73302:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-1:1992,Prefilled syringes — Part 1: Glass cylinders for dental local anaesthetic cartridges,95.99,"Specifies the design, dimensions, materials, performance and test methods. Applies to primary packs used in direct contact with the drug.",Withdrawn,1992-11,1,3,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-1:2015,Prefilled syringes — Part 1: Glass cylinders for dental local anaesthetic cartridges,90.93,"ISO 11040-1:2015 specifies the design, dimensions, materials, performance and test methods for glass cylinders for dental local anaesthetic cartridges with a volume of 1,7 ml, 1,8 ml and 2,2 ml intended for single use only.
NOTE 1       Cartridges of 1,0 ml size are described in ISO 11499.
It applies to primary packs used in direct contact with a drug.
NOTE 2       The potency, purity, stability and safety of a drug during its manufacture and storage can be strongly affected by the nature and performance of the primary pack.",Published,2015-12,2,4,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:67064:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-2:1994,Prefilled syringes — Part 2: Plungers and discs for dental local anaesthetic cartridges,95.99,"Specifies the design, dimensions, materials, performance, requirements, marking and test methods for plungers and discs for dental local anaesthetic cartridges intended for single use only. Applies to primary packs used in direct contact with the drug.",Withdrawn,1994-12,1,9,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-2:2011,Prefilled syringes — Part 2: Plunger stoppers for dental local anaesthetic cartridges,90.93,"ISO 11040-2:2011 specifies the shape, dimensions, material, performance requirements and labelling of plunger stoppers for dental local anaesthetic cartridges intended for single use only.",Published,2011-04,2,6,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:53947:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-3:1993,Prefilled syringes — Part 3: Aluminium caps for dental local anaesthetic cartridges,95.99,"Specifies the design, dimensions, material, performance requirements, packaging and marking of aluminium or aluminium alloy caps. Applies to primary packs used in direct contact with the drug.",Withdrawn,1993-03,1,2,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11040-3:2012,Prefilled syringes — Part 3: Seals for dental local anaesthetic cartridges,90.92,"ISO 11040-3:2012 specifies the shape, dimensions, material, performance requirements and labelling of seals for dental local anaesthetic cartridges intended for single use only.",Published,2012-01,2,6,"ISO/TC 76 Transfusion, infusion and injection, and blood processing equipment for medical and pharmaceutical use","11.040.10:Anaesthetic, respiratory and reanimation equipment|11.040.25:Syringes, needles and catheters|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:53948:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO/TS 11080:2009,Dentistry — Essential characteristics of test methods for the evaluation of treatment methods intended to improve or maintain the microbiological quality of dental unit procedural water,95.99,ISO/TS 11080:2009 provides guidelines for type test methods for evaluating the effectiveness of treatment methods intended to improve or maintain the microbiological quality of procedural water from dental units and other dental equipment under laboratory conditions.,Withdrawn,2009-06,1,9,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11143:1999,Dental equipment — Amalgam separators,95.99,,Withdrawn,1999-12,1,23,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11143:1999/Cor 1:2002,Dental equipment — Amalgam separators — Technical Corrigendum 1,95.99,,Withdrawn,2002-06,1,1,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11143:2008,Dentistry — Amalgam separators,90.93,"ISO 11143:2008 specifies requirements and test methods for amalgam separators used in connection with dental equipment in the dental treatment centre. It specifies the efficiency of the amalgam separators in terms of the level of retention of amalgam based on a laboratory test and the test procedure for determining this efficiency. It also includes requirements for the safe functioning of the amalgam separator, for marking, instructions for use, operation and maintenance.
All tests described in ISO 11143:2008 are type tests.",Published,2008-07,2,25,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:42288:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11144:1995,Dental equipment — Connections for supply and waste lines,95.99,"specifies requirements for the layout of the connections to the supply and waste lines for dental equipment, dental units, apparatus and devices, both as concerns the building plumbing and as mutually related to each other. Also lays down the relative positions, centres and minimum dimensions to accommodate the water, waste-water and suction supply lines, and adjacent spaces destined for electrical lines and compressed air lines for dental services. Covers requirements for all types of dental units and dental treatment centres.",Withdrawn,1995-04,1,2,ISO/TC 106/SC 6 Dental equipment,11.060.20:Dental equipment|13.030.40:Installations and equipment for waste disposal and treatment,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11498:1997,Dental handpieces — Dental low-voltage electrical motors,95.99,"Gives requirements and test methods for dental low-voltage electrical motors used in connection with dental handpieces. It also contains specifications on manufacturer's instructions, packaging and marking. Refers to IEC 601-1, the basic standard on safety of medical electrical equipment.",Withdrawn,1997-01,1,12,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment|29.160.30:Motors,,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11499:1997,Dental cartridges for local anaesthetics,95.99,,Withdrawn,1997-03,1,7,ISO/TC 106/SC 4 Dental instruments,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11499:2007,Dentistry — Single-use cartridges for local anaesthetics,95.99,"ISO 11499:2007 gives specific performance requirements for single-use dental cartridges of 1,8 ml and 2,2 ml nominal capacity, for use with local anaesthetics.
It specifies tests for leakage, plunger movement, extractable volume and underfilling, and lists general overall dimensions to ensure that the cartridge will fit dental cartridge syringes complying with ISO 9997.
Labelling requirements are also specified in ISO 11499:2007.",Withdrawn,2007-07,2,9,ISO/TC 106/SC 4 Dental instruments,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.060.20:Dental equipment",,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 11499:2014,Dentistry — Single-use cartridges for local anaesthetics,90.93,"ISO 11499:2014 gives specific performance requirements for single-use dental cartridges of 1,0 ml, 1,7 ml, 1,8 ml and 2,2 ml nominal capacity for use with local anaesthetics.
ISO 11499:2014 specifies tests for leakage, plunger movement, extractable volume and underfilling, and lists general overall dimensions to ensure that the cartridge will fit dental cartridge syringes. Labelling requirements are also specified.",Published,2014-06,3,9,ISO/TC 106/SC 4 Dental instruments,"11.040.10:Anaesthetic, respiratory and reanimation equipment|11.060.20:Dental equipment",https://www.iso.org/obp/ui/#!iso:std:61170:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13078:2013,Dentistry — Dental furnace — Test method for temperature measurement with separate thermocouple,90.93,ISO 13078:2013 specifies a test method for the calibration of dental furnaces that are suitable for the heat treatment of silica-based dental ceramic restorations in the temperature range between 600 °C and 1 050 °C.,Published,2013-02,1,4,ISO/TC 106/SC 2 Prosthodontic materials,11.060.20:Dental equipment,https://www.iso.org/obp/ui/#!iso:std:52659:en,,
11.060,Dentistry,11.060.20,"Dental equipmentDental radiographic films, see 37.040.25",ISO 13294:1997,Dental handpieces — Dental air-motors,95.99,,Withdrawn,1997-04,1,11,ISO/TC 106/SC 4 Dental instruments,11.060.20:Dental equipment,,,
